"title","url","course_num","subjects","grade_levels","length","type","uccsu","prereq","enroll_criteria","fulfillment","description"
"Religious Studies 470: The Ignatian Way","https://curriculum.siprep.org/courses/religious-studies-470-the-ignatian-way/","8470","Religious Studies","12","Semester","Elective","","Religious Studies 101, 201, 300","None","Meets requirement for one of seven semesters of Religious Studies","In this course, students will elect to undergo the Spiritual Exercises of St. Ignatius of Loyola. In a retreat-like format, students will engage in meditation, contemplation and other forms of prayer in order to come to a better understanding of themselves as young adults in the 21st century and to recognize and respond to Ignatius’ invitation to “find God in all things.” Students should come with a desire to develop or deepen their personal relationship with God/Jesus under the guidance of St. Ignatius. With prayer as the daily foundation, students will use readings, film, discussion, and daily journaling to encounter God through the person of Jesus Christ. Students should be willing to share their faith journey and prayer experiences both in journaling and in small group sharing. With the Exercises, a student chooses to undertake an intensely personal and oftentimes arduous journey, one that is shared with others in a structured and supportive environment."
"Religious Studies 471: Telling Stories – Faith, Film and Fiction","https://curriculum.siprep.org/courses/religious-studies-471-telling-stories-faith-film-and-fiction/","8471","Religious Studies","12","Semester","Elective","B","Religious Studies 101, 201, 300","None","Meets requirement for one of seven semesters of Religious Studies","In this semester course students explore and examine the “Catholic Imagination,” investigating the presence of God in everyday life. Catholics believe that we inhabit a sacramental world, where God can be seen, heard, observed and felt in the ordinary. By examining the works of writers, artists and filmmakers, we will deepen our awareness of God’s sacramental presence in creation. We will work together to understand how sacraments are “outward signs of an inward grace.”"
"Religious Studies 472: Science and Religion","https://curriculum.siprep.org/courses/religious-studies-472-science-and-religion/","8472","Religious Studies","12","Semester","Elective","G","Religious Studies 101, 201, 300","None","Meets requirement for one of seven semesters of Religious Studies","Are science and religion enemies, strangers, or partners? We investigate this fundamental question in a semester-long course that introduces the philosophical, theological, and ethical relationship between science and religion. Both science and religion are quests for understanding that fundamentally shape our world, but these disciplines ask different questions and follow different methods. While they may appear to conflict, closer examination reveals room for a deeper engagement through fruitful dialogue and constructive integration. Students will grapple with several of the “big questions” which animate the relationship between science and religion, like: “Does the universe have a purpose?” “Is faith compatible with evolution?” “Does science make belief in God obsolete?” and “What does it mean to be human?”"
"Religious Studies 475: Sports and Spirituality","https://curriculum.siprep.org/courses/religious-studies-475-sports-and-spirituality/","8475","Religious Studies","12","Semester","Elective","G","Religious Studies 101, 201, 300","None","Meets requirement for one of seven semesters of Religious Studies","Students in this semester-long course explore spirituality through the analogy of sports. Students will determine how human beings encounter the Holy in the midst of everyday life with emphasis on athletic experiences as an athlete and/or as a fan (of specific athletes, teams, and/or sporting events). Students will also examine the relationship between competitive, organized athletics and elements of communal religious practice and purpose. Included is a study of embedded meaning associated with the movement of the human body, an analysis of ritual practice, a survey of major events where sports and religious practice intersect, and a differentiation between religious practice and personal spirituality. Ultimately, students will come to know more deeply the ways in which one relates to the Holy or the Transcendent in the course of their own faith journey, and how personal faith contributes to communal practice and celebration of what is Holy and Transcendent."
"Religious Studies 476: Community Engagement and Social Justice","https://curriculum.siprep.org/courses/religious-studies-476-community-engagement-and-social-justice/","8476","Religious Studies","12","Semester","Elective","G","Religious Studies 101, 201, 300","None","Meets requirement for one of seven semesters of Religious Studies","Jesuit education encourages students to live as women and men with and for others. Service and community engagement support this goal. This semester course explores how community service promotes solidarity and spiritual development within the context of Christian faith and commitment to social justice. Specifically, students will study responsible civic partnership, discerning God’s presence in service experiences, living a faith that does justice, promoting social justice through service relationships, and contributing to the common good through civic engagement. The course uses a service-learning method of instruction. Students will receive release time from a portion of classroom instruction for service in the community. SI will organize partnerships with community organizations to support specific learning objectives. The course requires students to participate in one of these partnerships as part of a cohort. Students will learn from their service experience through a process of intentional reflection and interpretation. In addition to their service experience, students complete traditional coursework designed to complement and enrich the experience. The course assesses students on their professionalism, their ability to make skillful observations of their experience, the intentionality of their reflections, their ability to use course concepts to interpret their service experience, research about the strengths and needs of a community they serve, and communication of their learning."
"Religious Studies 477: Ecological Justice and Spirituality","https://curriculum.siprep.org/courses/religious-studies-477-ecological-justice-and-spirituality/","8477","Religious Studies","12","Semester","Elective","G","Religious Studies 101, 201, 300","None","Meets requirement for one of seven semesters of Religious Studies","This semester-long course will explore connections in religious experience, social justice, and spirituality that we discover through the study and experience of nature. We study the natural world- and our place in it. That leads to a creative response (literature and art), a spiritual response (prayer and connection with the divine), and an ethical response (stewardship). Students will experience nature first-hand through weekly field trips, read texts that examine the quest for meaning through nature, and begin (or continue) their own journey of becoming stewards of creation."
"Science Electives","https://curriculum.siprep.org/courses/science-electives/","","","","","","","","","","View the Science electives available to seniors"
"Science Teaching Assistant","https://curriculum.siprep.org/courses/science-teaching-assistant/","","Science","10, 11, 12","Semester, Year","Elective","","None","Permission of instructor or Department Chair. Enrollment is via roster submitted by instructor. Students should not list this course on their Schedule Request Forms.","","Science teaching assistants provide support for the science department (1 hour/week) either before school, after school, or during resource period in one or more of the following ways: Lab Assistant – assist with the setup and cleanup of science labs Peer Assistant – assist students taking introductory biology, chemistry, or physics Teacher Assistant – assist with grading assignments that require no teacher interpretation Students interested in being a TA are required to fill out a short application available from the science department chair. Teaching assistants will be selected based on department needs and student qualifications. In some cases, students taking AP science courses will have priority in being a TA due to their qualifications in offering peer assistance. *Taken as an independent study with the guidance of science teacher"
"Sculpture 1A","https://curriculum.siprep.org/courses/sculpture-a/","6150","Fine Arts","9, 10, 11, 12","Semester","Elective","F","None","None","One semester of Fine Arts graduation requirement","A studio-based problem-solving course that uses a variety of materials: paper, wood, plaster, found objects, and wire to explore the design process in 3 dimensions. Study of historical examples of sculpture will serve as a “spring board” for inspiration directed toward solutions to design projects. The work of 20 th century sculptors such as Alexander Calder, Louise Nevelson and Henry Moore will challenge the student to understand their own creativity. Field trips to local museums and some written work will complement the original work created by the student in the studio and at home. * This class will be offered pending adequate enrollment."
"Sculpture 1B","https://curriculum.siprep.org/courses/sculpture-b/","6155","Fine Arts","9, 10, 11, 12","Semester","Elective","F","3D Studies/Mixed Media Sculpture A","None","One semester of Fine Arts graduation requirement","3D Studies/Mixed Media Sculpture B continues the exploration of the visual world; its relationships of form and space — in the context of historical examples, environmental/cultural impact, creative self-expression and collaborative pieces. Field trips to local museums and sculpture collections and some written work will complement the original work created by the student in the studio and at home. * This class will be offered pending adequate enrollment."
"Social Cognitive Psychology","https://curriculum.siprep.org/courses/social-cognitive-psychology/","5431","Social Science","11, 12","Semester","Elective","G","Introduction to Ethnic Studies and Modern World History","None","","Social Cognitive Psychology is the scientific study of mental processes, information processing and group dynamics. Students will investigate how our brains let us “see” the world, how our perceptions depend on our current state of attention, and how memories can change over time. As we seek to better understand the human mind, we will discuss language abilities and the power of social influences. Students will look at mistakes that people make, from simple visual illusions to errors in higher-level decision-making, and will discuss how these “failures” provide unique insights into the mechanisms of human thinking and even mental disorders and their treatment."
"Social Cognitive Psychology Honors","https://curriculum.siprep.org/courses/social-cognitive-psychology-honors/","5441","Social Science","11, 12","Semester","Elective","G","Introduction to Ethnic Studies and Modern World History","Student must apply to enroll. To be accepted, students must have demonstrated a history of academic achievement.","","Social Cognitive Psychology is the scientific study of mental processes, information processing and group dynamics. Students will investigate how our brains let us “see” the world, how our perceptions depend on our current state of attention, and how memories can change over time. As we seek to better understand the human mind, we will discuss language abilities and the power of social influences. Students will look at mistakes that people make, from simple visual illusions to errors in higher-level decision-making, and will discuss how these “failures” provide unique insights into the mechanisms of human thinking and even mental disorders and their treatment. The honors curriculum for this course will necessitate college-level psychological analysis as well as practical applications or experiences of authentic psychology research in action. Class receives honors weighting in SI weighted GPA and UC/CSU GPA calculations"
"Social Movements and Social Justice","https://curriculum.siprep.org/courses/social-movements-and-social-justice/","5456","Social Science","11, 12","Semester","Elective","G","Introduction to Ethnic Studies and Modern World History","None","","This course is an introduction to the social movements of the “Long Sixties” (1945 – 1975), with emphasis on how the Freedom Movements of Black Americans, Chicano & Latinx/Lantiné communities, Asian-Americans, American Indians, Feminists, LGBTQ communities and other racial, ethnic or cultural communities worked toward freedom and equality. Students will identify and evaluate the core tenets of specific social movements including leadership, organization, strategies, accomplishments, and limits. Familiarity with US History is presumed. Students will also assess contemporary movements to ultimately define “freedom” for themselves. Course methodology includes: lectures, class discussion, films, group work, unit response papers land a final paper comparing and contrasting different social movements."
"Social Movements and Social Justice Honors","https://curriculum.siprep.org/courses/social-movements-and-social-justice-honors/","5466","Social Science","11, 12","Semester","AP/Honors, Elective","G","Introduction to Ethnic Studies and Modern World History","Student must apply to enroll. To be accepted, students must have demonstrated a history of academic achievement.","","This course is an introduction to the social movements of the “Long Sixties” (1945 – 1975), with emphasis on the Freedom Movements of Black Americans, Chicano & Latinx/Latiné communities, Asian-Americans, American Indians, Feminists, LGBTQ communities and other racial, ethnic or cultural communities worked toward freedom and equality. Students will identify and evaluate the core tenets of specific social movements including leadership, organization, strategies, accomplishments, and limits. Familiarity with US History is presumed. Students will also assess contemporary movements to ultimately define “freedom” for themselves. Course methodology includes: lectures, class discussion, films, group work, unit response papers and a final paper comparing and contrasting social movements. The honors curriculum for this course will include additional components to add depth and complexity to assignments, readings and response papers. The Honors final response paper will require further research of modern social movements outside of the curriculum of the class. Class receives honors weighting in SI weighted GPA and UC/CSU GPA calculations"
"Spanish 1","https://curriculum.siprep.org/courses/spanish-1/","4110","Spanish","9, 10, 11","Year","Elective","E","None","None","Meets one year of language graduation requirement","Spanish 1 is designed for the beginning Spanish student. No background in Spanish is expected. Comprehension, speaking, reading, and writing skills are developed simultaneously from simple to more complex sentence structures. The language skills are presented in a logical progression so that the student learns by practice both in the classroom and at home with the help of on-line tutorials. The learning process is based on the active participation of each student in a variety of formats. Students learn essential vocabulary, basic structures of the language, and cultural aspects of Latin America and Spain. By the end of the course, each student has the ability to do the following: ask questions and answer them affirmatively or negatively using present tenses; arrange proper word order; speak and write clearly; write short compositions; and use common idiomatic expressions."
"Spanish 1 Accelerated","https://curriculum.siprep.org/courses/spanish-1-accelerated/","4111","Spanish","9","Year","Elective","E","Some background experience in Spanish","Oral and written placement examination","Meets one year of language graduation requirement","This course is designed for incoming freshmen who have some experience in Spanish but did not place in Spanish 2 Honors at St. Ignatius. Since these students already have some basic skills in Spanish, they will review and/or learn, at an accelerated pace, the vocabulary and grammar structures taught in a regular level one course. Significant emphasis will be placed on improving students’ speaking and writing skills. They will acquire an expanded vocabulary, a deeper understanding of grammatical concepts, increased reading proficiency, improved oral expression, increased aural proficiency, the ability to write short compositions, and further knowledge of Spanish and Latin American cultures."
"Spanish 2","https://curriculum.siprep.org/courses/spanish-2/","4120","Spanish","9, 10, 11, 12","Year","Elective","E","Spanish 1 or Spanish 1 Accelerated or placement by written or oral examination","Satisfactory completion of Spanish 1 or placement by written and oral examination","Meets one year of language graduation requirement","Spanish 2 is a language course designed for students who have successfully completed their first year of Spanish. It is a two-semester course which aims to improve the student’s ability to speak, read, and write in Spanish, to systematically review grammar previously studied, and to master new concepts in Spanish, and to enhance the student’s knowledge of the cultural diversity of the Spanish-speaking world. The emphasis on improvement of oral skills will be considerable, and the student will be encouraged to speak in Spanish on a variety of topics and in a number of situations ranging from question and answer to oral presentations and/or situations."
"Spanish 2 Honors","https://curriculum.siprep.org/courses/spanish-2h/","4123","Spanish","9, 10, 11, 12","Year","AP/Honors, Elective","E","Spanish 1 or Spanish 1 Accelerated or placement by written and oral examination","See criteria for Honors Enrollment","Meets one year of language graduation requirement","Spanish 2H is an accelerated course designed to challenge the student who, during his/her first year, has actively participated in class, mastered the grammar and vocabulary presented in level one and/or demonstrated the ability to advance more rapidly than the average college preparatory student. The teacher will aid students in acquiring the following skills: increased oral proficiency on a variety of topics, an expanded vocabulary, the ability to read selections appropriate to intermediate level students and increased ability to write essays. The course materials are designed to stimulate conversation and to perfect that skill, striving to imitate the native speaker’s pronunciation, accent, and rhythm, as the student’s abilities increase. Students will also become more informed about some of the contemporary problems and difficulties affecting Hispanic communities. Students will further develop their ability to express themselves in spoken and written Spanish. * Class receives honors weighting in SI weighted GPA"
"Spanish 3","https://curriculum.siprep.org/courses/spanish-3/","4130","Spanish","10, 11, 12","Year","Elective","E","Spanish 2 or 2H or placement by written and oral examination","Minimum semester grade of C in Spanish 2, recommendation of second-year teacher and active class participation","Meets one year of language graduation requirement","Spanish 3 is an intermediate level language course designed for those students who have acquired satisfactory competency during their first two years of language study. The course builds upon the skills and material covered in Spanish 1 and 2. It reviews all major grammatical structures and introduces a broader scope of grammatical knowledge. Emphasis is given to improving oral skills, broadening the range of grammatical structures the student can effectively use in writing and conversation, enriching the student’s vocabulary and deepening his/her awareness of present day social justice issues within the Spanish-speaking world, as well as examining immigration issues facing Latinos. This class is conducted in Spanish, except when complex grammar concepts require a clearer explanation in English. Students are expected to speak in Spanish at all times."
"Spanish 3 Honors","https://curriculum.siprep.org/courses/spanish-3h/","4133","Spanish","9, 10, 11, 12","Year","AP/Honors, Elective","E","Spanish 2 or 2H or placement by written and oral examination","See criteria for Honors Enrollment","Meets one year of language graduation requirement","Spanish 3H is an advanced language course designed for students identified during their first two years as those superior Spanish students, who wish to become fluent in Spanish and prepare themselves for Spanish 4 AP. Students will practice the major grammar structures previously studied, as well as more complex grammar concepts, including expanded uses of the subjunctive mood. Considerable emphasis will be given to enriching the students’ active vocabulary and increasing their ability to comprehend and express themselves in spoken and written Spanish. Students will be required to speak in Spanish in a variety of situations ranging from class discussion to oral presentations and situations. Students will be able to read with comprehension selected short stories and newspaper and magazine articles. They will also become more informed about some of the contemporary problems and difficulties affecting Hispanic communities. This class is conducted in Spanish, and students are expected to speak Spanish at all time. * Class receives honors weighting in SI weighted GPA and UC/CSU GPA calculations"
"Spanish 4","https://curriculum.siprep.org/courses/spanish-4/","4140","Spanish","10, 11, 12","Year","Elective","E","Spanish 3 or 3H","Minimum semester grade of C in Spanish 3 or recommendation of Language Department Chair","Meets one year of language graduation requirement","This two-semester course is an advanced language course designed for those students who wish to improve and build upon their Spanish skills and delve deeper into the cultures and literature of the Spanish-speaking world. Prominent topics uncovered will be the volatile history of Latin American dictatorships, the impact and perception of Hispanics/Latinos in the U.S., and the diversity and beauty of art in the Spanish-speaking world. The course is comprised of an on-going review of all major grammar structures, as well as a thorough study of more complex grammar concepts. Considerable emphasis is given to broadening his/her cultural awareness of the Spanish-speaking world and increasing his/her ability to comprehend and express him/herself in both spoken and written Spanish . In order to maximize interaction with the language, students are expected to speak Spanish at all times."
"Spanish Electives","https://curriculum.siprep.org/courses/spanish-electives/","","","","Semester","","","","","","View the Spanish electives available to students who have completed Spanish 3, 3H, 4, 4AP, or Spanish for Heritage Speakers 2H"
"Spanish for Heritage Speakers 1 – Honors","https://curriculum.siprep.org/courses/spanish-for-heritage-speakers-1-honors/","4112","Spanish","9, 10, 11, 12","Year","AP/Honors","E","Heritage speaker of Spanish","Placement by written or oral examination, plus recommendation from the Language Department Chair","Elective which meets one year of language graduation requirement.","Spanish for Heritage Speakers 1 Honors will develop the language and literacy skills of heritage speakers. Students in this course come from Spanish-speaking family backgrounds. They speak and understand Spanish in the home, and they demonstrate some skills in reading and writing Spanish. The course will build upon the deep knowledge that heritage speakers of Spanish bring to the language classroom. With a focus on the formal registers of Spanish, this course will advance a student’s proficiency in Spanish for multiple contexts–academic, professional, and personal. Special attention will be given to building vocabulary for specific contexts, using advanced grammar, strengthening formal composition skills, and deepening academic reading ability. In this course, students will increase their knowledge of a variety of topics including but not limited to topics such as identity, communities, world challenges, and literature from the Spanish-speaking world. Taught exclusively in Spanish, this course is designed for heritage speakers only. Upon successful completion of this course and the course final exam, students are recommended to enroll in further Spanish courses, such as Spanish for Heritage Speakers 2 – Honors. *Class receives honors weighting in SI weighted GPA and UC/CSU GPA calculations"
"Spanish for Heritage Speakers 2 – Honors","https://curriculum.siprep.org/courses/spanish-for-heritage-speakers-2-honors/","4124","Spanish","10, 11, 12","Year","AP/Honors","","Heritage speaker of Spanish; completion of Spanish for Heritage Speakers 1 Honors or by Placement Exam","A minimum semester grade of B in Spanish for Heritage Speakers 1 Honors; or placement by written and oral examination plus recommendation by the Language Department Chair","Meets one year of language graduation requirement","This course will build upon the skills developed from Spanish for Heritage Speakers 1 Honors. Students in this course come from Spanish-speaking family backgrounds. They speak and understand Spanish in the home, and they demonstrate some skills in reading and writing Spanish. In Spanish for Heritage Speakers 2 Honors, students will continue to develop their formal composition skills, deepen their academic reading ability, and build their vocabulary for increased proficiency in multiple contexts–academic, professional, and personal. Through culturally relevant units and authentic resources from the Spanish-speaking world – including videos, articles, art, music, and literature – students will increase their knowledge of the cultural practices, products, and perspectives of the Spanish-speaking world. Many of the unit assessments will begin to familiarize students with the Advanced Placement Spanish Language and Culture Exam tasks, which include comparing and contrasting, persuasive writing, analytical reading, and listening to authentic texts. Taught exclusively in Spanish, this course is designed for heritage speakers only. Upon successful completion of this course and the course final exam, students are recommended to enroll in further Spanish courses, such as Advanced Placement Spanish Language and Culture or the Spanish electives. *Class receives honors weighting in SI weighted GPA and UC/CSU GPA calculations"
"Studio Art 1A","https://curriculum.siprep.org/courses/studio-art-a/","6120","Fine Arts","9, 10, 11, 12","Semester","Elective","F","None","None","One semester of Fine Arts graduation requirement","This course is a “hands-on” class designed to develop skills in design and composition, a variety of drawing styles, and acrylic painting. Students will receive instruction in a variety of media and will be required to use each of them in the creation of original work. The study of historical examples will be a springboard for the student’s creative expression. No previous drawing skills are required to take this class; just come with an open mind!"
"Studio Art 1B","https://curriculum.siprep.org/courses/studio-art-b/","6125","Fine Arts","9, 10, 11, 12","Semester","Elective","F","Studio Art A","None","One semester of Fine Arts graduation requirement","As a follow-up course to Studio Art A, the Studio Art B class will place emphasis on the concept of connection and progression in developing and expanding a visual image. A more refined sense of visual decision-making and creative initiative will be stressed and expected of the mature visual arts student. Students will use a variety of materials, techniques, and styles to explore themselves in relationship to their personal history, community, and their God. We will work in acrylic paint, water color paint, pencil, oil pastel, colored pencil, linoleum block prints, and a variety of mixed media materials. A special project involving an in depth self-study through visual images will urge the student to see her/himself in various aspects; with a connection to a specific community, a realistic self-portrait and a non-objective symbol that strikes a familiar resounding chord."
"Studio Art B/C: Sacred Symbols","https://curriculum.siprep.org/courses/studio-art-b-c-sacred-symbols/","6130","Fine Arts, Religious Studies","12","Semester","Elective","F","Studio Art A or permission of instructor; Religious Studies 101, 201, 300","None","One semester of Fine Arts graduation requirement AND meets the requirement for one of seven semesters of Religious Studies","Instructor: Katie Wolf An experiential class focused on the exploration of the human desire to remember and recognize the Creator. Through our exploration of symbols used as visual expressions in art, architecture and religious imagery, we will study various faith traditions to gather an understanding of praise older than language and the written word; to “see God in all things.” In this integrated approach to learning about culture, religion and the arts, each student will create 15 major art pieces that represent the faith traditions studied and their own original works that express an understanding of aesthetics. Through research, studio work, field trips (Holy Trinity Greek Orthodox Church, S.F., First Church of Christ Scientist, Berkeley, St. Mary’s Cathedral, S.F.), written papers, prayer, and reflection, each student will gain an ability to understand the role of the Creative spark in our lives. An understanding of their own creative process will allow them to embrace the universal call of the Beloved to us, His instruments, and our response – an expression of praise."
"U.S. Government: Constitutional Law","https://curriculum.siprep.org/courses/u-s-government-constitutional-law/","5452","Social Science","12","Semester","Elective","A","Introduction to Ethnic Studies, Modern World History and US Histories & Cultures","None","US Government requirement","Constitutional Law challenges students to become experts on the United States Constitution. With just 4,543 words on four pages of parchment paper, the original Constitution established a framework with competing values that endures to this day. More specifically, this course will focus on the policymaking institutions established in the first three Articles of the Constitution: Congress, the Presidency, and the Federal Judiciary. Furthermore, this course will examine how the media, interest groups, political parties, and elections serve as linkage institutions between the American people and the federal government. Students will examine case studies involving domestic policy (e.g. the federal budget) and foreign policy (e.g. wars and armed conflicts)."
"U.S. Government: Constitutional Law Honors","https://curriculum.siprep.org/courses/u-s-government-constitutional-law-honors/","5462","Social Science","12","Semester","AP/Honors, Elective","A","Introduction to Ethnic Studies, Modern World History and US Histories & Cultures","Student must apply to enroll. To be accepted, students must have demonstrated a history of academic achievement.","US Government requirement","Constitutional Law challenges students to become experts on the United States Constitution. With just 4,543 words on four pages of parchment paper, the original Constitution established a framework with competing values that endures to this day. More specifically, this course will focus on the policymaking institutions established in the first three Articles of the Constitution: Congress, the Presidency, and the Federal Judiciary. Furthermore, this course will examine how the media, interest groups, political parties, and elections serve as linkage institutions between the American people and the federal government. Students will examine case studies involving domestic policy (e.g. the federal budget) and foreign policy (e.g. wars and armed conflicts). The honors curriculum for this course will include additional assignments (e.g. college-level research papers) and participating in outside experiences (e.g. city council meetings). * Class receives honors weighting in SI weighted GPA and UC/CSU calculations"
"U.S. Government: Crime, Law and the Constitution","https://curriculum.siprep.org/courses/u-s-government-crime-law-and-the-constitution/","5453","Social Science","12","Semester","Elective","A","Introduction to Ethnic Studies, Modern World History, and US Histories & Cultures","None","US Government requirement","U.S. Govt: Crime, Law and the Constitution evaluates the origin and application of due process rooted in British law and found in the United States Constitution. The course will analyze issues related to the federal and state criminal justice systems including: policing, arrest, arraignment, trial, sentencing, and incarceration/alternative rehabilitation. At the federal level, students will evaluate the impact of federal laws such as the 1994 Crime Bill and precedents set by Supreme Court cases. At the state level, students will examine key California laws such as the Three Strikes Law. Case studies will include recent trials, and the coursework will include field trips and guest experts from the Bay Area. Students will participate in a mock trial and produce a research based podcast or documentary related to criminal justice."
"U.S. Government: Crime, Law and the Constitution Honors","https://curriculum.siprep.org/courses/u-s-government-crime-law-and-the-constitution-honors/","5463","Social Science","12","Semester","AP/Honors, Elective","A","Introduction to Ethnic Studies, Modern World History, and US Cultures & Histories","Student must apply to enroll. To be accepted, students must have demonstrated a history of academic achievement.","US Government requirement","U.S. Govt: Crime, Law and the Constitution evaluates the origin and application of due process rooted in British law and found in the United States Constitution. The course will analyze issues related to the federal and state criminal justice systems including: policing, arrest, arraignment, trial, sentencing, and incarceration/alternative rehabilitation. At the federal level, students will evaluate the impact of federal laws such as the 1994 Crime Bill and precedents set by Supreme Court cases. At the state level, students will examine key California laws such as the Three Strikes Law. Case studies will include recent trials, and the coursework will include field trips and guest experts from the Bay Area. Students will participate in a mock trial and produce a research based podcast or documentary related to criminal justice. The honors curriculum for this course will include more rigorous assessments, as well as more in-depth research for the semester research project. Class receives honors weighting in SI weighted GPA and UC/CSU GPA calculations."
"U.S. Government: Race, Gender and Power","https://curriculum.siprep.org/courses/u-s-government-race-gender-and-power/","5457","Social Science","12","Semester","Elective","A","Introduction to Ethnic Studies, Modern World History, and US Histories & Cultures","None","US Government requirement","U.S. Govt: Race, Gender and Power is a course that explores personhood and its construction in the American political system. Since the drafting of the Constitution, the US political system has restricted access to legal rights and protections of personhood; in particular for women and People of Color. In turn, this creates unique political realities for the Black, Chicanx/Latinx, Asian American, Native American, Feminist and LGBTQ experiences within the US political system. This course will examine the Constitution and the federal and state governments it creates from the perspectives of these communities, as well as how the Constitution, judicial system, media, and political parties have been used by the People to achieve greater access to freedom and equality. In short, this course will examine who exactly has historically been included in the American collective of “We the People”, how this has changed over time, and what this means for our society today."
"U.S. Government: Race, Gender and Power Honors","https://curriculum.siprep.org/courses/u-s-government-race-gender-and-power-honors/","5467","Social Science","12","Semester","Elective","A","Introduction to Ethnic Studies, Modern World History, and US Histories & Cultures","Students must apply to enroll. To be accepted, students must have demonstrated a history of academic achievement.","US Government requirement","U.S. Govt: Race, Gender and Power is a course that explores personhood and its construction in the American political system. Since the drafting of the Constitution, the US political system has restricted access to legal rights and protections of personhood; in particular for women and People of Color. In turn, this creates unique political realities for the Black, Chicanx/Latinx, Asian American, Native American, Feminist and LGBTQ experiences within the US political system. This course will examine the Constitution and the federal and state governments it creates from the perspectives of these communities, as well as how the Constitution, judicial system, media, and political parties have been used by the People to achieve greater access to freedom and equality. In short, this course will examine who exactly has historically been included in the American collective of “We the People”, how this has changed over time, and what this means for our society today. The honors curriculum for this course will include additional componentss to add depth and rigor in assignments, readings and tests, as well as more complex Supreme Court cases. Class receives honors weighting in SI weighted GPA and UC/CSU GPA calculations."
"U.S. Government: San Francisco Case Studies","https://curriculum.siprep.org/courses/u-s-government-san-francisco-case-studies/","5454","Social Science","12","Semester","Elective","A","Introduction to Ethnic Studies, Modern World History, and US Cultures & Histories","None","US Government requirement","This course will analyze the changing demographics of San Francisco from a Gold Rush town to a blue-collar manufacturing and shipping center to a technology hub, and how those changes impacted the City’s politics. Students will learn about the evolution of the “strong mayor” system of government and the relationship between the executive (Mayor’s Office) and legislative (Board of Supervisors) branches of City government. Students will also examine San Francisco as a case study in federalism by evaluating how the national government (e.g. the Hetch Hetchy water system and the New Deal programs) and the California state government (e.g. the “great freeway revolt”) have shaped the City and County of San Francisco. Furthermore, students will study how San Francisco became a center of the civil rights, free speech, anti-war, and gay rights movements, particularly from the 1960s to the present."
"U.S. Government: San Francisco Case Studies Honors","https://curriculum.siprep.org/courses/u-s-government-san-francisco-case-studies-honors/","5464","Social Science","12","Semester","AP/Honors, Elective","A","Introduction to Ethnic Studies, Modern World History, and US Histories & Cultures","Student must apply to enroll. To be accepted, students must have demonstrated a history of academic achievement.","US Government requirement","This course will analyze the changing demographics of San Francisco from a Gold Rush town to a blue-collar manufacturing and shipping center to a technology hub, and how those changes impacted the City’s politics. Students will learn about the evolution of the “strong mayor” system of government and the relationship between the executive (Mayor’s Office) and legislative (Board of Supervisors) branches of City government. Students will also examine San Francisco as a case study in federalism by evaluating how the national government (e.g. the Hetch Hetchy water system and the New Deal programs) and the California state government (e.g. the “great freeway revolt”) have shaped the City and County of San Francisco. Furthermore, students will study how San Francisco became a center of the civil rights, free speech, anti-war, and gay rights movements, particularly from the 1960s to the present. The honors curriculum for this course will include additional assignments (e.g. college-level research papers) and participating in outside experiences (e.g. city council meetings). Class receives honors weighting in SI weighted GPA and UC/CSU GPA calculations"
"United States Histories and Cultures","https://curriculum.siprep.org/courses/united-states-histories-and-cultures/","5301","Social Science","11","Year","Core Upper-Division","A","Introduction to Ethnic Studies, Modern World History","None","Graduation requirement","United States Histories and Cultures examines the social, cultural, political, economic, religious and ideological movements and moments that constitute the American history. We will focus explicitly on the diversity of the American experience and the development, change, and perpetuation of structures of inequality in the U.S over time. Empowered with this knowledge, students will then analyze what unites us as Americans through our shared historical experiences, events. Students will examine, critique, and analyze historical narratives, focusing explicitly on tensions between historical events and the stories that have been written about them. This course focuses on building an understanding of knowledge production, critical research and writing skills, and college-level reading and analysis. Students will leave this course prepared to heed our school’s mission to respond to the challenges of our time by becoming active participants in their civic communities."
"United States Histories and Cultures (0) Zero Period","https://curriculum.siprep.org/courses/united-states-histories-and-cultures-0-zero-period/","5305","Social Science","11","Year","Core Upper-Division","A","Introduction to Ethnic Studies, Modern World History","None","Graduation requirement","United States Histories and Cultures examines the social, cultural, political, economic, religious and ideological movements and moments that constitute American history. We will focus explicitly on the diversity of the American experience and the development, change, and perpetuation of structures of inequality in the U.S over time. Empowered with this knowledge, students will then analyze what unites us as Americans through our shared historical experiences, events. Students will examine, critique, and analyze historical narratives, focusing explicitly on tensions between historical events and the stories that have been written about them. This course focuses on building an understanding of knowledge production, critical research and writing skills, and college-level reading and analysis. Students will leave this course prepared to heed our school’s mission to respond to the challenges of our time by becoming active participants in their civic communities. This course meets 3-4 mornings per week for 50 minutes (8:00 am – 8:50 am). Students who will have morning practice or another morning commitment for the whole year that would prevent them from coming to class at 8:00 am should not take this class, as regular attendance is required. This class is offered outside of the 9:00 am – 2:45 pm school day."
